Ticker,Appearances,Screeners
AXTI,2,"52 Week High, Week 20%+ Gain"
CGON,2,"IPO, 52 Week High"
KRMN,2,"Growth, IPO"
SNDK,2,"Growth, IPO"
VG,2,"Growth, IPO"
AAOI,1,Growth
ADEA,1,Growth
ALM,1,Growth
AR,1,Growth
BDSX,1,Growth
BNAI,1,Growth
CART,1,IPO
CAVA,1,IPO
CIEN,1,Growth
DELL,1,Growth
DTE,1,Growth
EQT,1,Growth
FIGS,1,Growth
HIMS,1,Week 20%+ Gain
HIMX,1,Week 20%+ Gain
KEYS,1,Growth
KGS,1,IPO
KVYO,1,IPO
LASR,1,Growth
LWLG,1,Week 20%+ Gain
MU,1,Growth
NPT,1,10% Change
NVAX,1,Growth
OCGN,1,Week 20%+ Gain
ORKA,1,10% Change
OSS,1,Growth
PARR,1,52 Week High
PLYX,1,Week 20%+ Gain
RLAY,1,52 Week High
RLMD,1,Week 20%+ Gain
RSI,1,Growth
RYAM,1,52 Week High
SAIL,1,IPO
SNDX,1,Growth
TSSI,1,Week 20%+ Gain
ULS,1,IPO
UMAC,1,Growth
USAR,1,IPO
VRT,1,Growth
WOOF,1,Week 20%+ Gain
XENE,1,Week 20%+ Gain
