Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap
AAOI,2,"10% Change, Growth",Applied Optoelectronics Inc,Technology,Communication Equipment,USA,7.55B
ADTN,2,"Growth, 52 Week High",ADTRAN Holdings Inc,Technology,Communication Equipment,USA,938.99M
AXTI,2,"10% Change, 52 Week High",AXT Inc,Technology,Semiconductor Equipment & Materials,USA,3.00B
CIEN,2,"Growth, 52 Week High",CIENA Corp,Technology,Communication Equipment,USA,56.92B
FIVE,2,"Growth, 52 Week High",Five Below Inc,Consumer Cyclical,Specialty Retail,USA,12.91B
KRMN,2,"Growth, IPO",Karman Holdings Inc,Industrials,Aerospace & Defense,USA,13.31B
LITE,2,"10% Change, Growth",Lumentum Holdings Inc,Technology,Communication Equipment,USA,53.99B
SNDK,2,"Growth, IPO",Sandisk Corp,Technology,Computer Hardware,USA,109.67B
TSEM,2,"10% Change, Week 20%+ Gain",Tower Semiconductor Ltd,Technology,Semiconductors,Israel,18.14B
VG,2,"Growth, IPO",Venture Global Inc,Energy,Oil & Gas Midstream,USA,36.37B
ABVX,1,IPO,Abivax ADR,Healthcare,Biotechnology,France,9.64B
ADEA,1,Growth,Adeia Inc,Technology,Software - Application,USA,2.54B
ALAB,1,IPO,Astera Labs Inc,Technology,Semiconductors,USA,20.89B
AR,1,Growth,Antero Resources Corp,Energy,Oil & Gas E&P,USA,13.34B
ARM,1,IPO,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,135.60B
BDSX,1,Growth,Biodesix Inc,Healthcare,Diagnostics & Research,USA,161.28M
BNAI,1,Growth,Brand Engagement Network Inc,Technology,Software - Infrastructure,USA,246.61M
BTSG,1,IPO,BrightSpring Health Services Inc,Healthcare,Health Information Services,USA,8.33B
BW,1,Growth,Babcock & Wilcox Enterprises Inc,Industrials,Specialty Industrial Machinery,USA,1.98B
CAVA,1,IPO,Cava Group Inc,Consumer Cyclical,Restaurants,USA,9.91B
CGON,1,IPO,Cg Oncology Inc,Healthcare,Biotechnology,USA,5.42B
COHR,1,10% Change,Coherent Corp,Technology,Scientific & Technical Instruments,USA,51.13B
CRCL,1,Growth,Circle Internet Group Inc,Financial,Capital Markets,USA,30.07B
CRGY,1,52 Week High,Crescent Energy Co,Energy,Oil & Gas E&P,USA,4.05B
CXW,1,Growth,CoreCivic Inc,Industrials,Security & Protection Services,USA,1.94B
DELL,1,Growth,Dell Technologies Inc,Technology,Computer Hardware,USA,102.19B
EQT,1,Growth,EQT Corp,Energy,Oil & Gas E&P,USA,40.89B
EXE,1,Growth,Expand Energy Corp,Energy,Oil & Gas E&P,USA,26.18B
GEV,1,IPO,GE Vernova Inc,Industrials,Specialty Industrial Machinery,USA,230.29B
GLNG,1,Growth,Golar Lng,Energy,Oil & Gas Midstream,Bermuda,5.23B
JBL,1,Growth,Jabil Inc,Technology,Electronic Components,USA,27.71B
KC,1,Growth,Kingsoft Cloud Holdings Ltd ADR,Technology,Software - Application,China,4.34B
KEYS,1,Growth,Keysight Technologies Inc,Technology,Scientific & Technical Instruments,USA,49.29B
KGS,1,IPO,Kodiak Gas Services Inc,Energy,Oil & Gas Equipment & Services,USA,4.88B
LASR,1,Growth,nLIGHT Inc,Technology,Semiconductors,USA,3.85B
MASI,1,52 Week High,Masimo Corp,Healthcare,Medical Devices,USA,9.31B
METC,1,10% Change,Ramaco Resources Inc,Basic Materials,Coking Coal,USA,967.55M
MOVE,1,Growth,Movano Inc,Healthcare,Medical Devices,USA,16.68M
MRVL,1,Growth,Marvell Technology Inc,Technology,Semiconductors,USA,76.16B
MU,1,Growth,Micron Technology Inc,Technology,Semiconductors,USA,500.15B
NE,1,52 Week High,Noble Corp Plc,Energy,Oil & Gas Drilling,USA,7.64B
NVT,1,Growth,nVent Electric plc,Industrials,Electrical Equipment & Parts,United Kingdom,19.39B
OS,1,IPO,OneStream Inc,Technology,Software - Infrastructure,USA,5.98B
PARR,1,52 Week High,Par Pacific Holdings Inc,Energy,Oil & Gas Refining & Marketing,USA,2.84B
RSI,1,Growth,Rush Street Interactive Inc,Consumer Cyclical,Gambling,USA,4.77B
SNDX,1,Growth,Syndax Pharmaceuticals Inc,Healthcare,Biotechnology,USA,2.08B
STX,1,Growth,Seagate Technology Holdings Plc,Technology,Computer Hardware,USA,92.85B
TNGX,1,52 Week High,Tango Therapeutics Inc,Healthcare,Biotechnology,USA,2.70B
TOI,1,Week 20%+ Gain,Oncology Institute Inc,Healthcare,Medical Care Facilities,USA,342.48M
ULS,1,IPO,UL Solutions Inc,Industrials,Specialty Business Services,USA,16.70B
UMAC,1,Growth,Unusual Machines Inc,Technology,Computer Hardware,USA,738.13M
VET,1,10% Change,Vermilion Energy Inc,Energy,Oil & Gas E&P,Canada,2.19B
VRT,1,Growth,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts,USA,101.99B
YPF,1,52 Week High,YPF ADR,Energy,Oil & Gas Integrated,Argentina,16.37B
