Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,Stage,VCP,Quality Score
BW,3,"Growth, 52 Week High, Week 20%+ Gain",Babcock & Wilcox Enterprises Inc,Industrials,Specialty Industrial Machinery,USA,2.05B,10.276679841897234,38.81,-11.44,-3.3121019108280247,1.35,3900000.0,27.64,47.46,207.3,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 27.6, 'sma50': 47.5, 'sma200': 207.3}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",42.0
SNDK,3,"Growth, IPO, 52 Week High",Sandisk Corp,Technology,Computer Hardware,USA,104.75B,7.504473658254779,-327.99,23.6,-8.542525773195875,1.3,17950000.0,10.0,23.66,200.14,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 10.0, 'sma50': 23.7, 'sma200': 200.1}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",52.0
CIEN,2,"Growth, 52 Week High",CIENA Corp,Technology,Communication Equipment,USA,54.28B,7.2130037250253976,193.36,26.54,-7.887033304539781,1.79,3240000.0,10.63,29.27,112.44,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 10.6, 'sma50': 29.3, 'sma200': 112.4}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",65.0
FIVE,2,"Growth, 52 Week High",Five Below Inc,Consumer Cyclical,Specialty Retail,USA,12.56B,4.2344560724650435,41.13,22.9,-4.143308746048479,1.86,1070000.0,3.32,9.55,38.27,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 3.3, 'sma50': 9.6, 'sma200': 38.3}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",50.0
KRMN,2,"Growth, IPO",Karman Holdings Inc,Industrials,Aerospace & Defense,USA,13.15B,7.093982692694707,-28.01,29.38,-16.050008447372864,1.47,2049999.9999999998,2.82,1.18,39.49,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': False, 'sma20': 2.8, 'sma50': 1.2, 'sma200': 39.5}","{'vcp_possible': False, 'confidence': 40, 'signals': ['tight pullback -16% from high', 'holding above 20-day MA'], 'reason': 'tight pullback -16% from high · holding above 20-day MA'}",67.0
LITE,2,"Growth, 52 Week High",Lumentum Holdings Inc,Technology,Communication Equipment,USA,50.43B,9.92001132582997,146.62,48.89,-9.88134728247001,4.02,5190000.0,4.57,31.19,159.51,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 4.6, 'sma50': 31.2, 'sma200': 159.5}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",75.0
PL,2,"52 Week High, Week 20%+ Gain",Planet Labs PBC,Industrials,Aerospace & Defense,USA,11.46B,8.010641442506651,-86.84,25.94,9.450321912711512,5.38,11800000.0,31.61,35.03,137.52,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 31.6, 'sma50': 35.0, 'sma200': 137.5}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",57.0
SEDG,2,"52 Week High, Week 20%+ Gain",Solaredge Technologies Inc,Technology,Solar,Israel,3.12B,6.669244152329404,77.95,27.78,6.427190058840471,3.17,3120000.0,30.47,41.8,60.73,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 30.5, 'sma50': 41.8, 'sma200': 60.7}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",56.0
VG,2,"Growth, IPO",Venture Global Inc,Energy,Oil & Gas Midstream,USA,38.84B,7.526881720430106,51.81,176.93,-18.92307692307692,3.88,17440000.0,33.16,54.91,38.62,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 33.2, 'sma50': 54.9, 'sma200': 38.6}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",69.0
ABVX,1,IPO,Abivax ADR,Healthcare,Biotechnology,France,9.53B,4.93601462522852,18.48,0.0,-19.142645971914273,1.04,1280000.0,1.35,1.03,37.59,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': False, 'sma20': 1.4, 'sma50': 1.0, 'sma200': 37.6}","{'vcp_possible': True, 'confidence': 55, 'signals': ['moderate tightness ATR 4.9%', 'tight pullback -19% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.9% · tight pullback -19% from high · holding above 20-day MA'}",68.0
ADEA,1,Growth,Adeia Inc,Technology,Software - Application,USA,2.53B,4.136148211977596,71.9,17.91,-2.4789915966386578,2.28,1040000.0,7.24,16.81,44.67,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 7.2, 'sma50': 16.8, 'sma200': 44.7}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",41.0
ADTN,1,Growth,ADTRAN Holdings Inc,Technology,Communication Equipment,USA,924.36M,4.886561954624781,90.84,17.46,-6.753458096013009,1.36,1270000.0,10.46,15.78,25.26,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 10.5, 'sma50': 15.8, 'sma200': 25.3}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",24.0
AGRO,1,Week 20%+ Gain,Adecoagro S.A,Consumer Defensive,Farm Products,Luxembourg,2.00B,5.102763997165131,-103.82,-10.73,-4.403794037940378,3.16,1000000.0,34.19,49.72,62.81,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 34.2, 'sma50': 49.7, 'sma200': 62.8}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",34.0
AR,1,Growth,Antero Resources Corp,Energy,Oil & Gas E&P,USA,13.29B,3.620329542817359,1000.65,21.99,-2.884832093757028,1.5,6000000.0,11.74,20.55,23.99,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 11.7, 'sma50': 20.6, 'sma200': 24.0}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",52.0
ARM,1,IPO,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,140.56B,4.676992822062713,-2.03,26.45,-27.740773094562133,2.14,5770000.0,6.98,11.69,-4.19,"{'stage': 4, 'badge': '⚫ Stage 4', 'perfect': False, 'sma20': 7.0, 'sma50': 11.7, 'sma200': -4.2}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",10.0
AXTI,1,52 Week High,AXT Inc,Technology,Semiconductor Equipment & Materials,USA,3.01B,11.688790560471976,-79.13,-11.11,-6.691897471185271,1.31,8170000.0,26.5,78.97,346.46,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 26.5, 'sma50': 79.0, 'sma200': 346.5}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",21.0
BNAI,1,Growth,Brand Engagement Network Inc,Technology,Software - Infrastructure,USA,236.57M,15.043156596794082,53.6,-24.72,-53.00185442744554,0.07,9480000.0,6.15,46.24,322.87,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 6.2, 'sma50': 46.2, 'sma200': 322.9}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",22.0
BTSG,1,IPO,BrightSpring Health Services Inc,Healthcare,Health Information Services,USA,7.98B,5.192914341179326,893.58,14.59,-8.156897704479604,2.93,2240000.0,0.34,3.03,32.94,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 0.3, 'sma50': 3.0, 'sma200': 32.9}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",51.0
CAVA,1,IPO,Cava Group Inc,Consumer Cyclical,Restaurants,USA,9.81B,5.1857125904829715,-51.61,22.41,-16.975369458128085,0.88,3700000.0,3.69,16.23,23.12,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 3.7, 'sma50': 16.2, 'sma200': 23.1}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",19.0
CGON,1,IPO,Cg Oncology Inc,Healthcare,Biotechnology,USA,5.50B,5.19360786724032,-80.13,254.7,-6.157173756308576,2.59,1240000.0,5.25,14.82,63.11,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 5.2, 'sma50': 14.8, 'sma200': 63.1}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",31.0
CRCL,1,Growth,Circle Internet Group Inc,Financial,Capital Markets,USA,31.11B,6.768229786558755,-247.42,63.86,-57.848088564834946,1.58,14270000.0,19.88,52.64,4.62,"{'stage': 1, 'badge': '🔵 Stage 1', 'perfect': False, 'sma20': 19.9, 'sma50': 52.6, 'sma200': 4.6}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",32.0
CRGY,1,52 Week High,Crescent Energy Co,Energy,Oil & Gas E&P,USA,4.15B,4.104183109707972,177.61,22.14,0.15810276679841806,2.6,7320000.0,8.95,23.49,36.73,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 8.9, 'sma50': 23.5, 'sma200': 36.7}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",45.0
DELL,1,Growth,Dell Technologies Inc,Technology,Computer Hardware,USA,101.82B,4.699689224329296,39.59,19.12,-6.193479295573557,3.0,7690000.0,9.37,22.62,19.71,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 9.4, 'sma50': 22.6, 'sma200': 19.7}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",60.0
DFTX,1,52 Week High,Definium Therapeutics Inc,Healthcare,Biotechnology,USA,1.83B,5.7608695652173925,-14.47,0.0,-6.218144750254851,1.43,1810000.0,2.86,7.88,51.72,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 2.9, 'sma50': 7.9, 'sma200': 51.7}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",12.0
