Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score
ANNA,2,"10% Change, Week 20%+ Gain",AleAnna Inc,Energy,Oil & Gas E&P,USA,682.54M,13.18359375,-985.28,0.0,-44.04371584699454,2.07,3510000.0,105.72,183.0,147.85,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 105.7, 'sma50': 183.0, 'sma200': 147.8}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",True,-44% from 52w high,38.0
SWMR,2,"10% Change, Week 20%+ Gain",Swarmer Inc,Industrials,Aerospace & Defense,USA,552.83M,36.05001157675388,0.0,0.0,-33.59471094710948,0.37,7990000.0,12.57,12.57,12.57,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 12.6, 'sma50': 12.6, 'sma200': 12.6}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",True,"RVol 0.4x < 1.5x, -34% from 52w high",27.0
ADEA,1,Growth,Adeia Inc,Technology,Software - Application,USA,2.52B,4.626026805015132,71.9,17.91,-11.345343043311617,1.5,1030000.0,0.85,12.52,41.29,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 0.8, 'sma50': 12.5, 'sma200': 41.3}","{'vcp_possible': True, 'confidence': 55, 'signals': ['moderate tightness ATR 4.6%', 'tight pullback -11% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.6% · tight pullback -11% from high · holding above 20-day MA'}",False,,88.0
ADTN,1,Growth,ADTRAN Holdings Inc,Technology,Communication Equipment,USA,983.24M,4.922067268252666,90.84,17.46,-6.946564885496187,1.14,1400000.0,10.19,18.03,31.31,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 10.2, 'sma50': 18.0, 'sma200': 31.3}","{'vcp_possible': True, 'confidence': 55, 'signals': ['moderate tightness ATR 4.9%', 'tight pullback -7% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.9% · tight pullback -7% from high · holding above 20-day MA'}",False,,74.0
APGE,1,IPO,Apogee Therapeutics Inc,Healthcare,Biotechnology,USA,5.47B,6.529471544715447,-30.45,0.0,-7.431796801505186,0.91,1090000.0,7.6,10.56,38.92,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 7.6, 'sma50': 10.6, 'sma200': 38.9}","{'vcp_possible': True, 'confidence': 55, 'signals': ['below-avg volume RVol 0.9x', 'tight pullback -7% from high', 'holding above 20-day MA'], 'reason': 'below-avg volume RVol 0.9x · tight pullback -7% from high · holding above 20-day MA'}",False,,66.0
AR,1,Growth,Antero Resources Corp,Energy,Oil & Gas E&P,USA,13.65B,3.5044087723264754,1000.65,21.99,-2.7484608619173234,1.02,6200000.0,7.22,18.94,26.63,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 7.2, 'sma50': 18.9, 'sma200': 26.6}","{'vcp_possible': False, 'confidence': 45, 'signals': ['tight range ATR 3.5%', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.5% · holding above 20-day MA'}",False,,82.0
ARM,1,IPO,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,145.45B,6.2792056074766345,-2.03,26.45,-25.223848001747097,1.2,6670000.0,6.4,11.61,-1.04,"{'stage': 4, 'badge': '⚫ Stage 4', 'perfect': False, 'sma20': 6.4, 'sma50': 11.6, 'sma200': -1.0}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,0.0
AXTI,1,52 Week High,AXT Inc,Technology,Semiconductor Equipment & Materials,USA,2.93B,15.190593589986726,-79.13,-11.11,-25.606659142212184,2.37,8820000.0,5.06,50.91,277.87,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 5.1, 'sma50': 50.9, 'sma200': 277.9}","{'vcp_possible': False, 'confidence': 25, 'signals': ['moderate pullback -26% from high', 'holding above 20-day MA'], 'reason': 'moderate pullback -26% from high · holding above 20-day MA'}",False,,69.0
CC,1,52 Week High,Chemours Company,Basic Materials,Specialty Chemicals,USA,3.18B,5.990566037735849,-540.18,0.43,-3.1521242576519004,0.76,3530000.0,13.93,17.72,45.02,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 13.9, 'sma50': 17.7, 'sma200': 45.0}","{'vcp_possible': True, 'confidence': 85, 'signals': ['moderate tightness ATR 6.0%', 'volume dry-up RVol 0.8x', 'tight pullback -3% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 6.0% · volume dry-up RVol 0.8x · tight pullback -3% from high · holding above 20-day MA'}",False,,64.0
CENX,1,52 Week High,Century Aluminum Co,Basic Materials,Aluminum,USA,5.27B,7.887323943661972,-87.79,13.85,-9.928958051420834,1.94,2380000.0,0.78,4.37,59.8,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 0.8, 'sma50': 4.4, 'sma200': 59.8}","{'vcp_possible': False, 'confidence': 40, 'signals': ['tight pullback -10% from high', 'holding above 20-day MA'], 'reason': 'tight pullback -10% from high · holding above 20-day MA'}",False,,61.0
CIEN,1,Growth,CIENA Corp,Technology,Communication Equipment,USA,51.61B,8.391780821917807,193.36,26.54,-18.32441987961243,1.04,3380000.0,0.2,15.07,91.48,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 0.2, 'sma50': 15.1, 'sma200': 91.5}","{'vcp_possible': False, 'confidence': 40, 'signals': ['tight pullback -18% from high', 'holding above 20-day MA'], 'reason': 'tight pullback -18% from high · holding above 20-day MA'}",False,,88.0
CODI,1,10% Change,Compass Diversified Holdings,Industrials,Conglomerates,USA,577.06M,6.910039113428944,6.75,4.79,-59.90590695243074,2.61,1340000.0,20.09,16.34,17.86,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 20.1, 'sma50': 16.3, 'sma200': 17.9}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",True,-60% from 52w high,69.0
DAR,1,52 Week High,Darling Ingredients Inc,Consumer Defensive,Packaged Foods,USA,9.57B,3.4288553917508695,-77.29,7.35,-1.4367346938775505,1.69,2760000.0,8.11,18.11,56.84,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 8.1, 'sma50': 18.1, 'sma200': 56.8}","{'vcp_possible': False, 'confidence': 45, 'signals': ['tight range ATR 3.4%', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.4% · holding above 20-day MA'}",False,,59.0
DELL,1,Growth,Dell Technologies Inc,Technology,Computer Hardware,USA,106.33B,5.022470545366209,39.59,19.12,-11.65835076989108,1.18,8520000.0,5.03,21.98,23.33,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 5.0, 'sma50': 22.0, 'sma200': 23.3}","{'vcp_possible': True, 'confidence': 55, 'signals': ['moderate tightness ATR 5.0%', 'tight pullback -12% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.0% · tight pullback -12% from high · holding above 20-day MA'}",False,,95.0
EHAB,1,52 Week High,Enhabit Inc,Healthcare,Medical Care Facilities,USA,712.66M,0.99644128113879,97.14,2.44,2.6146654981010764,3.05,1270000.0,2.96,14.06,50.53,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 3.0, 'sma50': 14.1, 'sma200': 50.5}","{'vcp_possible': False, 'confidence': 45, 'signals': ['tight range ATR 1.0%', 'holding above 20-day MA'], 'reason': 'tight range ATR 1.0% · holding above 20-day MA'}",False,,72.0
EQT,1,Growth,EQT Corp,Energy,Oil & Gas E&P,USA,40.23B,3.2278088144009933,694.17,59.96,-5.5685814771395,0.97,10090000.0,0.5,7.8,15.17,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 0.5, 'sma50': 7.8, 'sma200': 15.2}","{'vcp_possible': True, 'confidence': 85, 'signals': ['tight range ATR 3.2%', 'below-avg volume RVol 1.0x', 'tight pullback -6% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.2% · below-avg volume RVol 1.0x · tight pullback -6% from high · holding above 20-day MA'}",False,,94.0
EXE,1,Growth,Expand Energy Corp,Energy,Oil & Gas E&P,USA,26.79B,3.463436518618214,285.54,172.2,-11.980729742536722,0.75,3940000.0,2.93,3.93,4.6,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 2.9, 'sma50': 3.9, 'sma200': 4.6}","{'vcp_possible': True, 'confidence': 100, 'signals': ['tight range ATR 3.5%', 'volume dry-up RVol 0.8x', 'tight pullback -12% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.5% · volume dry-up RVol 0.8x · tight pullback -12% from high · holding above 20-day MA'}",False,,94.0
GLNG,1,Growth,Golar Lng,Energy,Oil & Gas Midstream,Bermuda,5.66B,3.4208579881656807,33.78,51.14,-3.082437275985661,0.98,1920000.0,10.81,20.21,31.41,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 10.8, 'sma50': 20.2, 'sma200': 31.4}","{'vcp_possible': True, 'confidence': 85, 'signals': ['tight range ATR 3.4%', 'below-avg volume RVol 1.0x', 'tight pullback -3% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.4% · below-avg volume RVol 1.0x · tight pullback -3% from high · holding above 20-day MA'}",False,,72.0
KGS,1,IPO,Kodiak Gas Services Inc,Energy,Oil & Gas Equipment & Services,USA,4.93B,3.3240515140967624,50.71,12.83,-4.344930913933743,1.02,1530000.0,1.12,13.18,48.57,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 1.1, 'sma50': 13.2, 'sma200': 48.6}","{'vcp_possible': True, 'confidence': 70, 'signals': ['tight range ATR 3.3%', 'tight pullback -4% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.3% · tight pullback -4% from high · holding above 20-day MA'}",False,,81.0
