Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,Volume,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,EPS Q/Q,Inst Own,Inst Trans,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score,RS Rating
ALAB,4,"10% Change, Growth, IPO, Power Move",Astera Labs Inc,Technology,Semiconductors,USA,42.58B,"4,248,874",7.557344064386317,533.56,104.18,-5.4773678204640515,1.34,5180000.0,19.29,52.27,47.42,148.21,69.24,0.41,41.35,91.77,72.16,175.24,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 19.3, 'sma50': 52.3, 'sma200': 47.4}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,66.0,74
ARM,2,"Growth, IPO",Arm Holdings Plc ADR,Technology,Semiconductors,United Kingdom,240.18B,225.73,6.7111425289387645,12.94,22.79,-5.494780793319409,1.41,8060000.000000001,6.0,31.59,56.26,48.63,8.19,0.17,29.26,77.88,61.93,71.4,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 6.0, 'sma50': 31.6, 'sma200': 56.3}","{'vcp_possible': False, 'confidence': 40, 'signals': ['tight pullback -5% from high', 'holding above 20-day MA'], 'reason': 'tight pullback -5% from high · holding above 20-day MA'}",False,,92.0,63
AXTI,2,"10% Change, Growth",AXT Inc,Technology,Semiconductor Equipment & Materials,USA,7.49B,"6,436,524",12.106135986733001,25.6,-0.14,-14.500000000000002,0.87,12040000.0,14.77,52.79,305.57,84.63,67.41,57.29,45.47,386.7,997.41,7856.25,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 14.8, 'sma50': 52.8, 'sma200': 305.6}","{'vcp_possible': True, 'confidence': 55, 'signals': ['below-avg volume RVol 0.9x', 'tight pullback -15% from high', 'holding above 20-day MA'], 'reason': 'below-avg volume RVol 0.9x · tight pullback -15% from high · holding above 20-day MA'}",True,RVol 0.9x < 1.5x,96.0,99
BTSG,2,"Growth, IPO",BrightSpring Health Services Inc,Healthcare,Health Information Services,USA,11.02B,56.84,3.6059806508355314,290.87,17.97,-3.644067796610162,0.38,2940000.0,8.37,20.81,55.79,144.76,87.65,1.67,18.91,38.16,77.66,135.8,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 8.4, 'sma50': 20.8, 'sma200': 55.8}","{'vcp_possible': True, 'confidence': 100, 'signals': ['tight range ATR 3.6%', 'volume dry-up RVol 0.4x', 'tight pullback -4% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.6% · volume dry-up RVol 0.4x · tight pullback -4% from high · holding above 20-day MA'}",False,,104.0,66
CMBT,2,"Growth, Power Move",CMB.Tech NV,Energy,Oil & Gas Midstream,Belgium,4.90B,16.88,3.2467532467532463,-84.98,108.65,8.743099242521524,5.13,1690000.0,18.24,26.81,52.18,461.19,15.89,0.75,26.99,25.95,72.68,77.94,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 18.2, 'sma50': 26.8, 'sma200': 52.2}","{'vcp_possible': False, 'confidence': 45, 'signals': ['tight range ATR 3.2%', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.2% · holding above 20-day MA'}",False,,106.0,52
CRWD,2,"Growth, 52 Week High",Crowdstrike Holdings Inc,Technology,Software - Infrastructure,USA,157.62B,619.26,3.8107074261181135,-908.9,21.71,-0.23830609451733764,1.17,4010000.0,22.27,37.67,34.06,140.11,71.17,-0.05,43.04,49.02,15.26,39.43,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 22.3, 'sma50': 37.7, 'sma200': 34.1}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,61.0,40
DDOG,2,"Growth, 52 Week High",Datadog Inc,Technology,Software - Application,USA,74.69B,211.15,4.7129594543387645,-21.11,29.54,-0.07572889057174681,1.15,5500000.0,27.04,51.47,50.08,115.46,80.17,-0.97,62.73,73.37,14.12,81.29,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 27.0, 'sma50': 51.5, 'sma200': 50.1}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,58.0,54
MRVL,2,"10% Change, Growth",Marvell Technology Inc,Technology,Semiconductors,USA,158.55B,"14,249,754",6.107923195762525,405.16,42.09,-5.677855841790269,0.95,24490000.0,8.43,37.77,92.39,103.34,82.41,1.2,22.59,129.16,109.65,189.7,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 8.4, 'sma50': 37.8, 'sma200': 92.4}","{'vcp_possible': True, 'confidence': 55, 'signals': ['below-avg volume RVol 0.9x', 'tight pullback -6% from high', 'holding above 20-day MA'], 'reason': 'below-avg volume RVol 0.9x · tight pullback -6% from high · holding above 20-day MA'}",True,RVol 0.9x < 1.5x,114.0,80
OPTX,2,"10% Change, Power Move",Syntec Optics Holdings Inc,Technology,Electronic Components,USA,305.12M,"614,574",14.09749670619236,-215.06,-5.93,-37.78688524590164,1.11,931580.0,-5.02,-7.5,75.42,-376.14,3.77,58.72,-22.15,29.52,287.24,380.38,"{'stage': 3, 'badge': '🔴 Stage 3', 'perfect': False, 'sma20': -5.0, 'sma50': -7.5, 'sma200': 75.4}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",True,"below 50d MA (-7.5%), RVol 1.1x < 1.5x, -38% from 52w high, Stage 3 (Distribution)",11.0,91
SNDK,2,"Growth, IPO",Sandisk Corp,Technology,Computer Hardware,USA,204.40B,1380.27,7.540509259259258,395.16,82.76,-13.59999999999999,0.79,17520000.0,9.5,44.81,217.72,272.72,77.88,-8.13,51.41,130.25,443.91,3464.72,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 9.5, 'sma50': 44.8, 'sma200': 217.7}","{'vcp_possible': True, 'confidence': 70, 'signals': ['volume dry-up RVol 0.8x', 'tight pullback -14% from high', 'holding above 20-day MA'], 'reason': 'volume dry-up RVol 0.8x · tight pullback -14% from high · holding above 20-day MA'}",False,,112.0,98
