Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,Volume,Price,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,EPS Q/Q,Inst Own,Inst Trans,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score,RS Rating
RBRK,4,"Growth, IPO, 52 Week High, Base / Near-High",Rubrik Inc,Technology,Software - Infrastructure,USA,22.12B,"5,143,025",106.71,5.678942929434918,46.36,42.45,-2.0739653115536383,1.51,3410000.0,11.12,19.5,51.92,39.09,62.29,5.1,6.95,51.97,109.56,36.77,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 11.1, 'sma50': 19.5, 'sma200': 51.9}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 5.7%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.7% · holding above 20-day MA'}",False,,95.0,68
CYPH,3,"10% Change, Week 20%+ Gain, Power Move",Cypherpunk Technologies Inc,Healthcare,Biotechnology,USA,387.96M,"29,932,137",3.60,10.833333333333334,137.89,0.0,-2.7027027027027084,4.73,6320000.0,66.17,178.6,262.98,145.12,13.84,12.27,236.45,387.01,408.62,1020.1,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 66.2, 'sma50': 178.6, 'sma200': 263.0}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,99.0,99
DELL,3,"Growth, 52 Week High, Base / Near-High",Dell Technologies Inc,Technology,Computer Hardware,USA,361.18B,"11,717,917",568.06,5.849734183008837,152.4,48.86,-4.363783292366763,1.5,7830000.0,12.78,22.76,108.47,273.59,38.84,-5.19,29.83,38.72,262.38,329.99,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 12.8, 'sma50': 22.8, 'sma200': 108.5}","{'vcp_possible': True, 'confidence': 55, 'signals': ['moderate tightness ATR 5.8%', 'tight pullback -4% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.8% · tight pullback -4% from high · holding above 20-day MA'}",False,,125.0,95
GEMI,3,"10% Change, Week 20%+ Gain, Power Move",Gemini Space Station Inc,Financial,Capital Markets,USA,753.28M,"15,350,307",5.81,8.089500860585199,-28.35,28.47,-78.2803738317757,7.84,1960000.0,28.09,34.17,-7.18,21.93,12.21,6.63,47.84,23.35,-3.33,-76.27,"{'stage': 4, 'badge': '⚫ Stage 4', 'perfect': False, 'sma20': 28.1, 'sma50': 34.2, 'sma200': -7.2}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,28.0,2
HNGE,3,"Growth, IPO, Base / Near-High",Hinge Health Inc,Healthcare,Health Information Services,USA,7.66B,"4,865,922",94.90,4.541622760800842,124.68,49.76,-1.820815228636452,2.48,1960000.0,3.83,9.55,61.24,107.01,67.29,14.36,7.28,36.7,113.21,66.75,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 3.8, 'sma50': 9.6, 'sma200': 61.2}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 4.5%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.5% · holding above 20-day MA'}",False,,103.0,70
SECZ,3,"10% Change, Week 20%+ Gain, Power Move",Securitize Corp,Technology,Software - Application,USA,1.77B,"21,271,715",10.86,7.918968692449356,-5668.57,0.0,-22.704626334519585,12.34,1720000.0,45.34,50.42,4.48,-5304.17,5.74,2.18,80.1,-2.25,-0.18,2.94,"{'stage': 1, 'badge': '🔵 Stage 1', 'perfect': False, 'sma20': 45.3, 'sma50': 50.4, 'sma200': 4.5}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,42.0,10
SNDK,3,"10% Change, IPO, Power Move",Sandisk Corp,Technology,Computer Hardware,USA,262.36B,"17,722,352",1791.82,6.5056757933274545,785.83,175.3,-23.894511954264164,1.29,13750000.0,12.59,19.12,67.74,28016.32,81.8,1.65,14.21,-17.99,132.07,1712.3,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 12.6, 'sma50': 19.1, 'sma200': 67.7}","{'vcp_possible': False, 'confidence': 25, 'signals': ['moderate pullback -24% from high', 'holding above 20-day MA'], 'reason': 'moderate pullback -24% from high · holding above 20-day MA'}",False,,112.0,98
TEM,3,"Growth, IPO, Week 20%+ Gain",Tempus AI Inc,Healthcare,Health Information Services,USA,14.05B,"9,313,917",77.84,6.3463514902363825,-21.05,50.43,-25.383435582822077,1.44,6480000.0,17.06,36.41,38.62,112.51,55.99,4.52,27.09,53.11,59.7,-10.6,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 17.1, 'sma50': 36.4, 'sma200': 38.6}","{'vcp_possible': False, 'confidence': 25, 'signals': ['moderate pullback -25% from high', 'holding above 20-day MA'], 'reason': 'moderate pullback -25% from high · holding above 20-day MA'}",False,,103.0,48
ABTC,2,"10% Change, Power Move",American Bitcoin Corp,Financial,Capital Markets,USA,735.48M,"4,938,261",10.10,8.415841584158416,86.92,2495.03,-91.59384103204327,2.93,1680000.0,20.22,41.61,-35.33,84.59,5.0,3.68,27.85,-20.82,-33.99,-91.0,"{'stage': 4, 'badge': '⚫ Stage 4', 'perfect': False, 'sma20': 20.2, 'sma50': 41.6, 'sma200': -35.3}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,17.0,1
AMD,2,"Growth, Base / Near-High",Advanced Micro Devices Inc,Technology,Semiconductors,USA,913.89B,"31,814,747",559.82,4.287092279661319,125.82,39.54,-4.260085851589612,1.27,25140000.0,14.07,12.9,57.86,158.8,75.2,3.63,20.02,4.18,172.72,254.5,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 14.1, 'sma50': 12.9, 'sma200': 57.9}","{'vcp_possible': True, 'confidence': 55, 'signals': ['moderate tightness ATR 4.3%', 'tight pullback -4% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.3% · tight pullback -4% from high · holding above 20-day MA'}",False,,116.0,94
ANET,2,"Growth, Base / Near-High",Arista Networks Inc,Technology,Computer Hardware,USA,251.48B,"10,718,722",199.39,4.152665630172025,24.4,32.57,-7.212992693936437,1.5,7170000.0,2.88,6.32,28.54,35.96,74.01,0.65,6.94,17.52,46.33,35.95,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 2.9, 'sma50': 6.3, 'sma200': 28.5}","{'vcp_possible': True, 'confidence': 55, 'signals': ['moderate tightness ATR 4.2%', 'tight pullback -7% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.2% · tight pullback -7% from high · holding above 20-day MA'}",False,,112.0,41
ASX,2,"Growth, Base / Near-High",ASE Technology Holding CoLtd ADR,Technology,Semiconductors,Taiwan,91.54B,"19,275,754",41.63,4.1556569781407635,82.12,18.3,-8.525598769501197,2.15,8970000.0,8.94,9.45,42.45,163.45,7.12,-0.27,16.74,2.64,90.09,262.95,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 8.9, 'sma50': 9.4, 'sma200': 42.5}","{'vcp_possible': True, 'confidence': 55, 'signals': ['moderate tightness ATR 4.2%', 'tight pullback -9% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.2% · tight pullback -9% from high · holding above 20-day MA'}",False,,120.0,90
AVT,2,"Growth, Base / Near-High",Avnet Inc,Technology,Electronics & Computer Distribution,USA,7.89B,"2,681,972",96.12,3.838951310861423,47.08,24.47,-3.8799999999999946,2.2,1220000.0,5.14,5.79,30.08,1987.43,108.26,0.13,8.81,5.08,60.31,79.19,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 5.1, 'sma50': 5.8, 'sma200': 30.1}","{'vcp_possible': True, 'confidence': 70, 'signals': ['tight range ATR 3.8%', 'tight pullback -4% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.8% · tight pullback -4% from high · holding above 20-day MA'}",False,,111.0,54
BKKT,2,"10% Change, Power Move",Bakkt Inc,Technology,Software - Infrastructure,USA,388.05M,"3,786,922",8.61,7.665505226480837,33.05,-70.49,-82.7073709580237,3.01,1260000.0,7.18,10.86,-12.28,189.82,28.04,9.02,11.24,-6.62,-4.33,-14.84,"{'stage': 4, 'badge': '⚫ Stage 4', 'perfect': False, 'sma20': 7.2, 'sma50': 10.9, 'sma200': -12.3}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",True,"-83% from 52w high, Stage 4 (Downtrend)",26.0,5
BP,2,"Growth, Base / Near-High",BP plc ADR,Energy,Oil & Gas Integrated,United Kingdom,114.81B,"11,223,006",44.58,2.3104531179901304,791.9,15.84,-7.6444996892479855,1.21,9300000.0,0.4,2.83,8.18,140.43,14.29,55.24,1.94,14.02,-2.79,28.99,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 0.4, 'sma50': 2.8, 'sma200': 8.2}","{'vcp_possible': True, 'confidence': 70, 'signals': ['tight range ATR 2.3%', 'tight pullback -8% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 2.3% · tight pullback -8% from high · holding above 20-day MA'}",False,,125.0,18
