Ticker,Company,Sector,Industry,Market Cap,Days Seen,Total Days,Dates,Max ATR%,Max EPS%,Max Appearances,Screeners Hit,Base Score,Signal Score,Q Rank,Stage,Quality Mod,Watch,EP,IPO,MULTI,HIGH,CHAR,CC_DEEP,CC_WATCH
GEV,GE Vernova Inc,Industrials,Specialty Industrial Machinery,229.95B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",4.7,220.8,2,"52 Week High, IPO",140.0,165.0,52,Transitional,0,False,False,True,False,True,False,False,False
VG,Venture Global Inc,Energy,Oil & Gas Midstream,43.07B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",7.5,51.8,2,"Growth, IPO",140.0,155.0,51,Transitional,0,False,False,True,False,False,False,False,False
CIEN,CIENA Corp,Technology,Communication Equipment,56.79B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",7.6,193.4,2,"52 Week High, Growth",140.0,150.0,45,Transitional,0,True,False,False,False,True,False,False,False
APGE,Apogee Therapeutics Inc,Healthcare,Biotechnology,5.41B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",7.0,-30.4,2,"52 Week High, IPO",140.0,145.0,21,Transitional,-20,False,False,True,False,True,False,False,False
BTSG,BrightSpring Health Services Inc,Healthcare,Health Information Services,8.19B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",5.1,893.6,2,"52 Week High, IPO",140.0,145.0,36,Transitional,-20,False,False,True,False,True,False,False,False
ANNA,AleAnna Inc,Energy,Oil & Gas E&P,567.23M,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",17.1,-985.3,2,"10% Change, Week 20%+ Gain",140.0,145.0,25,Transitional,-20,True,False,False,False,False,True,False,False
SATL,Satellogic Inc,Industrials,Aerospace & Defense,848.34M,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",10.3,89.1,2,"10% Change, Week 20%+ Gain",140.0,145.0,24,Transitional,-20,True,False,False,False,False,True,False,False
ADTN,ADTRAN Holdings Inc,Technology,Communication Equipment,1.04B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",4.8,90.8,2,"52 Week High, Growth",140.0,130.0,32,Transitional,-20,True,False,False,False,True,False,False,False
ADEA,Adeia Inc,Technology,Software - Application,2.64B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",4.2,71.9,2,"52 Week High, Growth",140.0,130.0,33,Transitional,-20,True,False,False,False,True,False,False,False
OS,OneStream Inc,Technology,Software - Infrastructure,6.04B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",0.5,78.8,1,IPO,110.0,125.0,46,Transitional,0,False,False,True,False,False,False,False,False
